,id,name,artists,genres,popularity,added_at,danceability,energy,instrumentalness,tempo,valence
74,58BB8I0IO8pxDkwuwWyEdw,The Outlook,['Benjamin Martins'],['background music'],52,2022-12-09 15:29:46+00:00,0.381,0.174,0.715,169.828,0.0382
75,5M2Tj8w6F5dYuCeakcwZ9D,Mount Soul,['Nova Explora'],[],52,2022-12-09 15:29:46+00:00,0.411,0.0636,0.93,120.217,0.0323
76,1CMi03AXBZLUT2Wg6YHd9s,Coastlines,['Garden Collective'],[],52,2022-12-09 15:29:46+00:00,0.43,0.106,0.726,83.049,0.05
77,6sZ06jEfwg6DjssHZeZhwe,Undiscovered,['Elementaries'],['chill beats'],52,2022-12-09 15:29:46+00:00,0.354,0.132,0.887,113.783,0.0373
78,0WRbfmpoYdrlMRv4BmJcPS,ouma,['Fall Ball'],[],51,2022-12-09 15:29:46+00:00,0.207,0.0672,0.787,134.106,0.0942
79,53TsZT0ySAHpRJ8GClsekU,Horizons,['Hers Lake'],[],53,2022-12-09 15:29:46+00:00,0.489,0.184,0.88,74.976,0.171
80,6TL7AaKyoeXyCdGBKuC3fE,eternal wind down,['Riley Power'],[],51,2022-12-09 15:29:46+00:00,0.328,0.25,0.875,153.087,0.125
81,0Pg5pXLEh0BUcifZBr5qDG,Rainy Nights,['Random Forest'],"['compositional ambient', 'focus']",51,2022-12-09 15:29:46+00:00,0.439,0.379,0.76,160.011,0.199
82,62X7ld1sa8RHl4zRtSvfHf,Just Look at You,['369'],[],54,2022-12-09 15:29:46+00:00,0.558,0.249,0.925,94.991,0.111
83,7nIG9RI8QkvsrepRb1t6ZQ,Into The Deep End,['The Purple Stripe'],['background music'],51,2022-12-09 15:29:46+00:00,0.616,0.144,0.821,124.153,0.0621
84,06G5MnuMA3cLbNwjFs8zIS,Flowing,['Lucas Delphy'],[],52,2022-12-09 15:29:46+00:00,0.2,0.138,0.929,71.631,0.138
85,3JPbOyccVz2HJDNaXfehiX,Needless to Say,['Elkoo'],[],51,2022-12-09 15:29:46+00:00,0.47,0.087,0.896,109.936,0.171
86,3KBoMRQ6EbCiTzOCzy4pvF,River Deep,['2am Fieldscape'],[],51,2022-12-09 15:29:46+00:00,0.294,0.00912,0.921,76.805,0.0842
87,4TOJ3cjdXI3Mbj5Scd0XGg,Stillness Within,['Roots and Recognition'],[],52,2022-12-09 15:29:46+00:00,0.328,0.101,0.92,111.002,0.129
88,51c5Wbzs0fPu6mwpDn3bsQ,With Resolve,['Jacob Yoffee'],[],53,2022-12-09 15:29:46+00:00,0.456,0.0195,0.924,126.086,0.269
89,2UPZhccmKlfIV1oWZxDhXN,lining the cloud,['Aguto Rising'],[],51,2022-12-09 15:29:46+00:00,0.0967,0.054,0.871,64.088,0.0374
90,4MaHchXoMIXMg1HJeCukEV,zoot suit,['Blackbird Co.'],[],50,2022-12-09 15:29:46+00:00,0.323,0.136,0.875,76.791,0.0852
91,381cpx26XrMnGOIn4faioN,Ethereal Glow,['Far & Beyond'],[],52,2022-12-09 15:29:46+00:00,0.364,0.114,0.863,73.956,0.0736
92,6mgKP4yo57GTSMc3fJlyWm,Ingénue,['Eline Moss'],['background music'],51,2022-12-09 15:29:46+00:00,0.283,0.122,0.905,83.746,0.112
93,4iNlPrMJCvBjakWljscabH,Hidden Chambers,['Marlee Tuaine'],[],51,2022-12-09 15:29:46+00:00,0.297,0.209,0.907,141.603,0.0867
94,0W4RUo3m0jL0wHADS0PLme,The Five Times I Loved You,['Cora Zea'],['background music'],52,2022-12-09 15:29:46+00:00,0.41,0.0845,0.93,92.033,0.0795
95,6Xgupx0XndCMdA09Nl46wF,Golden,['Clear Blue Skies'],[],50,2022-12-09 15:29:46+00:00,0.521,0.322,0.904,140.059,0.148
96,6WdO6Ds95sLALCqCOfbDQh,Atlavík,['Hugar'],"['compositional ambient', 'icelandic classical', 'neo-classical']",53,2022-12-09 15:29:46+00:00,0.535,0.147,0.797,126.823,0.238
97,49K00nm3DD6HZwQg2I4HmP,Hold the Handle,['Forest Landing'],[],50,2022-12-09 15:29:46+00:00,0.219,0.222,0.903,79.121,0.0396
98,1bsSaYmy0vOUH8tux2hAYV,Looking at the World Through a Window,['From Overseas'],['ambient guitar'],50,2022-12-09 15:29:46+00:00,0.142,0.112,0.967,101.366,0.05
99,39xRHgkRG13GJYOw8sOaQJ,two,['cloudcrush'],[],52,2022-12-09 15:29:46+00:00,0.603,0.16,0.877,80.144,0.0382
100,7ncqZEutTnKNmxJn50URcf,Everlonging,['Niveous'],[],51,2022-12-09 15:29:46+00:00,0.213,0.15,0.896,139.353,0.124
101,3IOXceWmoCrTyl5TXFDzWu,Vague,['Amaranth Cove'],['background music'],51,2022-12-09 15:29:46+00:00,0.32,0.253,0.935,140.029,0.125
102,3jP962JoLAn9p4wCDdx4My,Collapse Into Light,['Evin Iris'],[],52,2022-12-09 15:29:46+00:00,0.305,0.229,0.904,121.599,0.0562
103,3FoVLAXDlxCrGXZD6ppT85,Will to Live,['Jacob Yoffee'],[],51,2022-12-09 15:29:46+00:00,0.434,0.112,0.922,112.001,0.104
104,4F21Bmd7GOjukwGjOUy67I,jubilance,['Däalo'],[],50,2022-12-09 15:29:46+00:00,0.453,0.151,0.87,71.006,0.0474
105,4XVFa7MhMILscQRd2MmreO,Catch a Breath,['Light of Sun'],[],50,2022-12-09 15:29:46+00:00,0.469,0.163,0.919,112.049,0.11
106,1uu52K2fxY7Hl4LQ8AtTyY,When You Left,['Rouge Haven'],['sleep'],50,2022-12-09 15:29:46+00:00,0.56,0.0853,0.918,96.646,0.113
107,4XBdcBdB8cIlJIipHbTd7G,The Meaning,['Fondur'],[],49,2022-12-09 15:29:46+00:00,0.448,0.0693,0.9,70.084,0.0897
108,5d3kpW56erBx62L5vhIl8y,Raga for HAL,['Syntropy'],['binaural'],50,2022-12-09 15:29:46+00:00,0.137,0.139,0.933,99.734,0.0371
109,11oVQ68B4PnVQHIY6svpXg,Mil Sonidos,['Reina del Mar'],[],52,2022-12-09 15:29:46+00:00,0.221,0.183,0.821,117.321,0.057
110,1Tx1CeHCaOHPvYD25thsRq,Falling Rivers,['Yolta'],['background music'],50,2022-12-09 15:29:46+00:00,0.26,0.0561,0.874,103.122,0.0357
111,6XDJJwtxkhbqYWteeKS20P,Levare,['ANDRIEU'],[],49,2022-12-09 15:29:46+00:00,0.223,0.0671,0.738,108.595,0.0612
112,6NnKLbuNprZyhHUUbu11HS,everpresent,['Imber Sun'],[],51,2022-12-09 15:29:46+00:00,0.355,0.176,0.852,145.068,0.0694
113,3WEdWvAScE1EcBfErseQnC,Curiosity,['Beau Projet'],[],51,2022-12-09 15:29:46+00:00,0.43,0.256,0.867,133.955,0.173
